23/04/2013 15:34:22 - New match 11348965 has started
23/04/2013 15:36:04 - Roman killed Nick using AK47
23/04/2013 15:36:08 - Roman killed Nick using AK47
23/04/2013 15:36:10 - Roman killed Nick using R-15
23/04/2013 15:36:15 - Roman killed Nick using R-15
23/04/2013 15:37:03 - Roman killed Nick using R-15
23/04/2013 15:37:04 - Nick killed Roman using AK47
23/04/2013 15:37:08 - <WORLD> killed Nick by DROWN
23/04/2013 15:37:11 - <WORLD> killed Nick by DROWN
23/04/2013 15:37:15 - <WORLD> killed Nick by DROWN
23/04/2013 15:37:33 - <WORLD> killed Nick by DROWN
23/04/2013 15:38:04 - Nick killed Roman using AK47
23/04/2013 15:38:06 - Nick killed Roman using AK47
23/04/2013 15:38:28 - Nick killed Roman using AK47
23/04/2013 15:38:28 - Nick killed Roman using AK47
23/04/2013 15:39:22 - Match 11348965 has ended
